"Sample"	"Detector"	"Cq"
"323"	"CMV008"	"hsa-miR-302c"	"25.901"
"324"	"CMV008"	"hsa-miR-30b"	"29.523"
"325"	"CMV008"	"hsa-miR-30c"	"29.421"
"326"	"CMV008"	"hsa-miR-320"	"24.368"
"327"	"CMV008"	"hsa-miR-328"	"27.473"
"328"	"CMV008"	"hsa-miR-331"	"31.981"
"329"	"CMV008"	"hsa-miR-335"	"31.794"
"330"	"CMV008"	"hsa-miR-340"	"35.016"
"331"	"CMV008"	"hsa-miR-342-3p"	"30.793"
"332"	"CMV008"	"hsa-miR-345"	"32.93"
"333"	"CMV008"	"hsa-miR-34a"	"16.058"
"334"	"CMV008"	"hsa-miR-363"	"29.327"
"335"	"CMV008"	"hsa-miR-365"	"31.441"
"336"	"CMV008"	"hsa-miR-367"	"20.662"
"337"	"CMV008"	"hsa-miR-372"	"26.874"
"338"	"CMV008"	"hsa-miR-373"	"28.565"
"339"	"CMV008"	"hsa-miR-374"	"19.797"
"340"	"CMV008"	"hsa-miR-375"	"31.941"
"341"	"CMV008"	"hsa-miR-376a"	"30.421"
"342"	"CMV008"	"hsa-miR-381"	"29.514"
"343"	"CMV008"	"hsa-miR-383"	"29.345"
"344"	"CMV008"	"hsa-miR-410"	"22.677"
"345"	"CMV008"	"hsa-miR-411"	"34.251"
"346"	"CMV008"	"hsa-miR-422a"	"32.255"
"347"	"CMV008"	"hsa-miR-429"	"33.507"
"348"	"CMV008"	"hsa-miR-454"	"18.893"
"349"	"CMV008"	"hsa-miR-483-5p"	"17.677"
"350"	"CMV008"	"hsa-miR-484"	"29.256"
"351"	"CMV008"	"hsa-miR-486"	"18.908"
"352"	"CMV008"	"hsa-miR-509-5p"	"25.849"
"353"	"CMV008"	"hsa-miR-512-3p"	"24.775"
"354"	"CMV008"	"hsa-miR-518d"	"25.513"
"355"	"CMV008"	"hsa-miR-518f"	"17.166"
"356"	"CMV008"	"hsa-miR-520b"	"29.144"
"357"	"CMV008"	"hsa-miR-520d-5p"	"32.681"
"358"	"CMV008"	"hsa-miR-520e"	"23.658"
"359"	"CMV008"	"hsa-miR-520f"	"30.887"
"360"	"CMV008"	"hsa-miR-523"	"18.38"
"361"	"CMV008"	"hsa-miR-532"	"34.109"
